Plataforma,Função,Transferencia,MediaTempo,MenorTempo,MaiorTempo
VM,Copy:,"5209,50","0,031032","0,030713","0,031681"
VM,Scale:,"5106,40","0,031616","0,031333","0,031913"
VM,Add:,"7436,30","0,032692","0,032274","0,033087"
VM,Triad:,"6992,00","0,034712","0,034325","0,035074"
VM,Copy:,"5181,40","0,031087","0,030880","0,031659"
VM,Scale:,"5043,70","0,031842","0,031723","0,032074"
VM,Add:,"7426,00","0,032418","0,032319","0,032576"
VM,Triad:,"7001,40","0,034568","0,034279","0,034731"
VM,Copy:,"5199,10","0,030944","0,030775","0,031266"
VM,Scale:,"5106,90","0,031477","0,031330","0,031700"
VM,Add:,"7452,00","0,032319","0,032206","0,032517"
VM,Triad:,"7055,10","0,034183","0,034018","0,034429"
VM,Copy:,"5210,20","0,030948","0,030709","0,031239"
VM,Scale:,"5082,10","0,031698","0,031483","0,031907"
VM,Add:,"7467,80","0,032445","0,032138","0,033107"
VM,Triad:,"7012,00","0,034414","0,034227","0,034755"
VM,Copy:,"5165,80","0,031227","0,030973","0,031553"
VM,Scale:,"5049,80","0,031943","0,031684","0,032246"
VM,Add:,"7397,40","0,032643","0,032444","0,032840"
VM,Triad:,"6981,40","0,034694","0,034377","0,034933"
VM,Copy:,"5201,20","0,031204","0,030762","0,031761"
VM,Scale:,"5070,80","0,031886","0,031553","0,032569"
VM,Add:,"7416,30","0,033129","0,032361","0,036728"
VM,Triad:,"6981,60","0,035339","0,034376","0,041352"
VM,Copy:,"5227,70","0,030946","0,030606","0,031233"
VM,Scale:,"5080,80","0,031849","0,031491","0,032439"
VM,Add:,"7491,80","0,032390","0,032035","0,032928"
VM,Triad:,"7047,20","0,034467","0,034056","0,034938"
VM,Copy:,"5196,50","0,030984","0,030790","0,031385"
VM,Scale:,"5092,60","0,031666","0,031418","0,032090"
VM,Add:,"7401,00","0,032642","0,032428","0,032960"
VM,Triad:,"7037,50","0,034252","0,034103","0,034305"
VM,Copy:,"5219,90","0,030764","0,030652","0,030982"
VM,Scale:,"5096,10","0,031525","0,031397","0,031669"
VM,Add:,"7507,00","0,032061","0,031970","0,032172"
VM,Triad:,"7057,00","0,034116","0,034009","0,034217"
VM,Copy:,"5210,40","0,030921","0,030708","0,031272"
VM,Scale:,"5108,70","0,031515","0,031319","0,031647"
VM,Add:,"7456,20","0,032451","0,032188","0,032884"
VM,Triad:,"7049,30","0,034297","0,034046","0,034731"
LXC,Copy:,"9852,70","0,016604","0,016239","0,016973"
LXC,Scale:,"17937,30","0,009072","0,008920","0,009368"
LXC,Add:,"17365,00","0,014030","0,013821","0,014211"
LXC,Triad:,"17161,30","0,014175","0,013985","0,014346"
LXC,Copy:,"9877,20","0,016407","0,016199","0,016547"
LXC,Scale:,"17827,20","0,009081","0,008975","0,009202"
LXC,Add:,"17293,70","0,014013","0,013878","0,014224"
LXC,Triad:,"17360,80","0,014116","0,013824","0,014389"
LXC,Copy:,"9646,10","0,016756","0,016587","0,016929"
LXC,Scale:,"17534,30","0,009264","0,009125","0,009502"
LXC,Add:,"17000,80","0,014290","0,014117","0,014447"
LXC,Triad:,"16938,40","0,014398","0,014169","0,014596"
LXC,Copy:,"9872,90","0,016613","0,016206","0,016917"
LXC,Scale:,"17805,50","0,009114","0,008986","0,009205"
LXC,Add:,"17392,60","0,014067","0,013799","0,014413"
LXC,Triad:,"17189,50","0,014101","0,013962","0,014244"
LXC,Copy:,"9854,60","0,016506","0,016236","0,016666"
LXC,Scale:,"17799,80","0,009205","0,008989","0,009415"
LXC,Add:,"17260,20","0,014162","0,013905","0,014341"
LXC,Triad:,"17130,70","0,014187","0,014010","0,014407"
LXC,Copy:,"9728,90","0,016750","0,016446","0,016939"
LXC,Scale:,"17829,10","0,009255","0,008974","0,009520"
LXC,Add:,"17147,90","0,014177","0,013996","0,014267"
LXC,Triad:,"17094,00","0,014255","0,014040","0,014425"
LXC,Copy:,"10020,70","0,016357","0,015967","0,016877"
LXC,Scale:,"18155,20","0,008971","0,008813","0,009226"
LXC,Add:,"17513,10","0,013887","0,013704","0,014154"
LXC,Triad:,"17513,10","0,014027","0,013704","0,014406"
